,A,B,C,D,E,F,G,H,I,J
0,795012,174619,242235,292660,964398,211821,781910,0.9994537804678932,TL2buU4Jb5,XFQ5cmKqP5
1,626343,855405,86114,955682,873540,996426,354012,0.3539263029887765,IY2LvE8Xd6,i6QoKxowpr
2,439844,486524,186660,625991,52206,939224,733941,0.7040489028247123,LWPwJpLxOq,HjWNrUCkZj
3,765688,275229,294199,415636,837378,938381,492526,0.9651175884874503,74amUR2LUr,85nXgJ4mUu
4,399154,238654,533182,758165,732306,22484,840933,0.31364080011978956,Ctw3oXb7NL,1QK4zJ1TJz
5,559700,73979,520150,789399,540575,671069,501891,0.23199479142081225,ozqxGfaShX,Isud3neDHL
6,650434,182241,170767,137389,100309,622751,141911,0.37837043916082347,LxoWELRua3,L07wAhHUzT
7,711897,758043,679984,350771,988874,149696,18520,0.13610388744456348,4KUjLoLj1s,ltqrfHsoGz
8,136143,849524,851508,25016,354228,924126,301723,0.6692879733377736,f4fZYtBMGF,EYQM9TvYj9
9,859351,904332,84847,477561,48879,323751,749813,0.907374787421457,1aFimZ15Zd,QoRnj6abx8
10,861238,403314,795388,517215,918083,736926,832401,0.6529224468311194,MDxNUQb3fn,cOFLnJPKhh
11,763670,464538,557676,158659,463872,594214,42085,0.9466107195081607,DNuTbMvXrn,cFlrwfg2gx
12,178868,520578,844051,933294,578952,157810,891491,0.21054956317042062,b8n4eM0JXf,INcDPqL6L6
13,815600,721738,604639,185801,202771,478138,395409,0.7317455901703807,v7VX2dhdlF,eypH6VqMUU
14,808946,142493,930013,220109,770547,97159,363459,0.33113091920386595,o6g3akTQ3g,veR7MmOGuO
15,967724,809375,206122,795459,427173,497140,800631,0.6360521838574389,KGrNHtCcAG,a7AndwAFAa
16,864239,216694,195327,58362,698406,137829,266384,0.6260954215974258,S3vybdQWbV,jo9nIAj2CM
17,206624,689817,468966,677165,247051,89442,741639,0.42602199267093843,SBnbvpyHRe,JEc0rv3LLB
18,475881,965934,686719,916382,287653,600106,189622,0.03710815948235047,oO5g39vKHA,cfPLscBMUh
19,401096,445485,737497,518006,617575,600483,142062,0.5265395746603635,TkSyNIyFR9,g9gXyK3FVh
20,834625,560709,143430,265639,618167,130198,207649,0.2660480885186617,A5bEw4ctVb,d9F1Om3tO2
21,590677,823965,882292,885051,524247,929558,699852,0.46334386454465526,ErZi5rs8D7,zs5jyLOgMB
22,971639,638866,636963,550784,862736,254312,188927,0.4449101354607431,eE4VJ1zsfG,o3O0xsh33V
23,483875,971697,279480,445389,492367,296673,413387,0.5762620788441213,3scTScUlYT,RlI3lpRmoV
24,182401,735128,855611,194571,817415,416816,678799,0.05114708520484146,lKaYj6L8yK,P2lvS6qkdn
25,873665,568513,151907,777267,215451,847136,227233,0.060604731059048844,wOlyQ7bdhz,zI23HNizlG
26,5995,983785,88070,820673,182855,399309,379158,0.032530301928710204,hfqAW9Hn5S,SweD3bKfaB
27,245972,387599,854560,361785,729462,981935,349122,0.3691677932337887,jOWSQGxaxE,KjsldXYbPW
28,165649,155226,104895,419915,936034,259123,549970,0.30416434195291275,2rjJIQFZGT,sVAnPXLTQb
29,313625,698645,233853,647098,900151,310049,610112,0.30237627759374286,O1GMy77nbY,p6DZ8wbI0f
30,58267,137828,311943,710892,999458,605760,155557,0.6377785080754642,c3vuVBmDe2,WBOneAtQPj
31,891735,261793,484828,137543,480799,445891,60101,0.134138295446238,Jm6YPysnwW,2nKvBqKf7s
32,95477,926155,21006,396836,234288,660519,808126,0.5445618705076231,Axz0zsJ39L,RuYrKu99fm
33,70449,903825,548730,177610,840417,740218,662378,0.06695739913238619,7c07RfOfWt,P9U6kUB92i
34,634136,846499,406140,135681,660005,348650,166291,0.6832571812768385,7CbfK0OiYe,SnXU40gupT
35,800465,906864,533262,197119,830773,769221,573335,0.11579066867461718,kKDwTEnvua,Qh1ndaE7bz
36,12490,601486,449445,158044,49676,470082,393093,0.43567207146097464,UM222zjhId,O38lL9aqum
37,176711,818395,654674,483506,247136,410467,537857,0.19804660911950533,F54txqPQdA,ApyD2Ys1WW
38,46217,340865,519682,796107,40044,954918,177298,0.3446310760342226,1SyQfvZKnY,hrAS2ldZ0k
39,418179,952691,43684,47141,779463,697817,964703,0.9158266932528956,9iiNmysiVH,BKqKZkC3di
40,164597,267654,155661,836861,140165,331407,731077,0.47717886893660055,ngsz8BwvVX,0iOt9dv4or
41,888540,934327,266265,293374,171803,10575,540745,0.0964271841465596,Taylt0UDA5,k584abWwWl
