,negative,positive,total
aa,12,7,19
aaa,5,6,11
aaaa,0,3,3
aaaaa,1,2,3
aaaaaa,2,0,2
aaaaaaaaa,1,0,1
aaaaaaaaaaaaaaaaaa,1,0,1
aaaaaaaaaaaaaaah,0,1,1
aaaaaaaaaaarggggggggggghhhhhhhhh,0,1,1
aaaaaaaahhhhh,0,1,1
aaaaaaah,1,0,1
aaaaaaahhh,0,1,1
aaaaaaalcohol,1,0,1
aaaaaah,1,2,3
aaaaaahh,0,1,1
aaaaaahhhhhhhh,0,1,1
aaaaaakkkh,1,0,1
aaaaaand,2,0,2
aaaaah,0,1,1
aaaaahhhh,1,1,2
aaaaahhhhh,0,1,1
aaaaahhhhhh,0,1,1
aaaaand,0,1,1
aaaaaw,1,0,1
aaaages,1,0,1
aaaah,3,2,5
aaaahahahahahahahahahahahahahahahah,0,1,1
aaaahh,0,1,1
aaaahhhh,1,1,2
aaaahhhhhhhh,0,1,1
aaaahhhhhhhhh,1,0,1
aaaaiieee,0,1,1
aaaall,0,1,1
aaaalll,1,0,1
aaaamy,0,1,1
aaaand,3,2,5
aaaaoooo,1,0,1
aaaarrgghhhhhhhh,1,0,1
aaaarses,0,1,1
aaaaw,4,1,5
aaaaww,1,1,2
aaaayyyyyy,0,1,1
aaages,2,0,2
aaah,11,3,14
aaahahaha,1,0,1
aaahh,3,4,7
aaahhh,2,1,3
aaahhhh,2,0,2
aaahhhhh,1,1,2
aaahhhhhh,1,0,1
aaand,0,1,1
aaargh,1,2,3
aaarrggghhh,1,0,1
aaarrrgggghhh,1,0,1
aaarrrrg,0,1,1
aaarrrrrrrrr,1,0,1
aaaw,3,2,5
aaaww,2,2,4
aaawww,0,1,1
aabangan,0,1,1
aabhar,1,0,1
aabot,1,0,1
aachen,1,0,1
aaeeeaaaa,0,1,1
aagenealogy,0,1,1
aah,8,9,17
aahahahha,0,1,1
aahh,4,2,6
aahha,0,1,1
aahhh,4,3,7
aahhhh,1,1,2
aahhhhh,1,0,1
aahhhhhh,1,0,1
aahmhm,1,0,1
aahww,0,1,1
aaiiiihhhhh,0,1,1
aaj,0,1,1
aajao,0,1,1
aak,0,1,1
aalinakirche,1,0,1
aaliyah,3,0,3
aaliyahlove,0,1,1
aalor,1,0,1
aalways,0,1,1
aam,2,0,2
aamaustin,1,0,1
aand,1,0,1
aandhi,0,1,1
aanestad,1,0,1
aang,1,0,1
aannnna,0,1,1
aanswwe,1,0,1
aant,1,0,1
aao,1,0,1
aap,0,1,1
aapl,0,1,1
aar,4,2,6
aargh,0,1,1
aarghh,0,1,1
aarhus,1,0,1
aaron,21,7,28
aarooonnnn,1,0,1
aarrgh,1,0,1
aarrrggghh,0,1,1
aarrrr,0,1,1
aarrrrggghhhhh,1,0,1
aartee,1,0,1
aas,1,0,1
aasar,0,1,1
aash,0,1,1
aata,0,1,1
aauummmm,1,0,1
aauuummm,1,0,1
aaw,3,6,9
aaweeesommeeeee,0,1,1
aawn,0,1,1
aaww,3,3,6
aawww,1,2,3
aay,2,0,2
aayegi,1,0,1
ab,6,6,12
aba,0,1,1
aback,0,1,1
abagail,1,0,1
abanded,0,1,1
abandon,2,2,4
abandoned,3,7,10
abandoning,1,0,1
abangmu,1,0,1
abb,2,0,2
abba,2,4,6
abbal,0,1,1
abbey,6,0,6
abbeyyyy,1,0,1
abbie,3,0,3
abbieee,1,0,1
abbigale,1,0,1
abbiie,1,0,1
abbot,0,1,1
abbreviation,0,1,1
abbu,0,1,1
abby,12,5,17
abbz,1,0,1
abc,10,7,17
abcfamily,0,2,2
abckatesnow,1,0,1
abd,1,1,2
abdomen,0,1,1
abdominal,1,0,1
abduct,1,0,1
abducted,2,1,3
abduzeedo,1,0,1
abduzzeedo,1,0,1
abe,2,1,3
abeech,0,1,1
abeer,1,0,1
aber,4,4,8
abercrombie,1,0,1
aberdeen,4,0,4
aberystwyth,1,0,1
abey,1,0,1
abfahrt,1,0,1
abhi,0,2,2
abhishek,1,0,1
abhl,1,0,1
abhor,1,0,1
abhors,1,0,1
abi,2,1,3
abide,1,1,2
abiding,1,0,1
abie,1,0,1
abigail,2,0,2
abigaillyy,1,0,1
abigale,2,0,2
abilene,1,1,2
abilities,1,3,4
ability,7,8,15
abis,4,5,9
abiszszsz,1,0,1
